,Nationality,Visa Class,Issuances,excel_name,Month_Year,Formatted_Date
28498,China - mainland,B1/B2,81,JANUARY 2021 - NIV Issuances by Nationality and Visa Class,JANUARY 2021,2021-01-01
173818,China - mainland,B1/B2,82,FEBRUARY 2021 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2021,2021-02-01
73451,China - mainland,B1/B2,149,MARCH 2021 - NIV Issuances by Nationality and Visa Class,MARCH 2021,2021-03-01
156732,China - mainland,B1/B2,147,APRIL 2021 - NIV Issuances by Nationality and Visa Class,APRIL 2021,2021-04-01
93160,China - mainland,B1/B2,166,MAY2021 - NIV Issuances by Nationality and Visa Class,MAY2021,2021-05-01
7582,China - mainland,B1/B2,234,JUNE2021 - NIV Issuances by Nationality and Visa Class,JUNE2021,2021-06-01
108905,China - mainland,B1/B2,284,JULY2021 - NIV Issuances by Nationality and Visa Class,JULY2021,2021-07-01
198902,China - mainland,B1/B2,303,AUGUST2021 - NIV Issuances by Nationality and Visa Class,AUGUST2021,2021-08-01
4274,China - mainland,B1/B2,375,SEPTEMBER2021 - NIV Issuances by Nationality and Visa Class,SEPTEMBER2021,2021-09-01
192572,China - mainland,B1/B2,480,OCTOBER2021 - NIV Issuances by Nationality and Visa Class,OCTOBER2021,2021-10-01
83104,China - mainland,B1/B2,"5,148",NOVEMBER2021 - NIV Issuances by Nationality and Visa Class,NOVEMBER2021,2021-11-01
202171,China - mainland,B1/B2,"6,518",DECEMBER2021 - NIV Issuances by Nationality and Visa Class,DECEMBER2021,2021-12-01
170825,China - mainland,B1/B2,"3,989",JANUARY2022 - NIV Issuances by Nationality and Visa Class,JANUARY2022,2022-01-01
195668,China - mainland,B1/B2,"3,408",FEBRUARY 2022 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2022,2022-02-01
86300,China - mainland,B1/B2,"5,027",MARCH 2022 - NIV Issuances by Nationality and Visa Class,MARCH 2022,2022-03-01
115971,China - mainland,B1/B2,"3,815",APRIL 2022 - NIV Issuances by Nationality and Visa Class,APRIL 2022,2022-04-01
48850,China - mainland,B1/B2,"5,235",MAY 2022 - NIV Issuances by Nationality and Visa Class,MAY 2022,2022-05-01
139253,China - mainland,B1/B2,"6,802",JUNE 2022 - NIV Issuances by Nationality and Visa Class,JUNE 2022,2022-06-01
149952,China - mainland,B1/B2,"7,814",JULY 2022 - NIV Issuances by Nationality and Visa Class,JULY 2022,2022-07-01
39124,China - mainland,B1/B2,"10,373",AUGUST 2022 - NIV Issuances by Nationality and Visa Class,AUGUST 2022,2022-08-01
97738,China - mainland,B1/B2,"10,485",SEPTEMBER 2022 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2022,2022-09-01
7745,China - mainland,B1/B2,10432,OCTOBER 2022 - NIV Issuances by Nationality and Visa Class,OCTOBER 2022,2022-10-01
40998,China - mainland,B1/B2,10984,NOVEMBER 2022 - NIV Issuances by Nationality and Visa Class,NOVEMBER 2022,2022-11-01
614,China - mainland,B1/B2,6702,DECEMBER 2022 - NIV Issuances by Nationality and Visa Class,DECEMBER 2022,2022-12-01
44445,China - mainland,B1/B2,13212,JANUARY 2023 - NIV Issuances by Nationality and Visa Class,JANUARY 2023,2023-01-01
11290,China - mainland,B1/B2,18137,FEBRUARY 2023 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2023,2023-02-01
4063,China - mainland,B1/B2,39409,MARCH 2023 - NIV Issuances by Nationality and Visa Class,MARCH 2023,2023-03-01
14794,China - mainland,B1/B2,37325,APRIL 2023 - NIV Issuances by Nationality and Visa Class,APRIL 2023,2023-04-01
18319,China - mainland,B1/B2,30500,MAY 2023 - NIV Issuances by Nationality and Visa Class,MAY 2023,2023-05-01
29830,China - mainland,B1/B2,26078,JUNE 2023 - NIV Issuances by Nationality and Visa Class,JUNE 2023,2023-06-01
33611,China - mainland,B1/B2,18221,JULY 2023 - NIV Issuances by Nationality and Visa Class,JULY 2023,2023-07-01
22051,China - mainland,B1/B2,26146,AUGUST 2023 - NIV Issuances by Nationality and Visa Class,AUGUST 2023,2023-08-01
25997,China - mainland,B1/B2,30596,SEPTEMBER 2023 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2023,2023-09-01
37378,China - mainland,B1/B2,35423,OCTOBER 2023 - NIV Issuances by Nationality and Visa Class,OCTOBER 2023,2023-10-01
